gene,accuracy,auc
ENSG00000230021,0.7011173184357542,0.7853814783050076
QKI,0.686219739292365,0.7756616163545382
SNHG14,0.9394785847299814,0.9911165962022532
KCNIP4,0.9404096834264432,0.9911650935020352
LUC7L3,0.9357541899441341,0.986875052021197
SLC24A2,0.9357541899441341,0.9860616266770584
LRRTM4,0.9357541899441341,0.9894519896238831
MPHOSPH8,0.9180633147113594,0.9802666028595306
DPP10,0.9245810055865922,0.9842423821994069
SIK3,0.9366852886405959,0.9858398318773121
FRMD5,0.9180633147113594,0.9844138763867538
WWOX,0.9273743016759777,0.9842730063053803
MAP7,0.925512104283054,0.9837736045542904
COPG2,0.9143389199255121,0.9811834956343627
NCAM2,0.9376163873370578,0.9874155923879679
RBM25,0.9338919925512105,0.9872818389044529
DOCK4,0.9227188081936686,0.9836615019697054
SPOCK1,0.9217877094972067,0.9861683455433454
SPARCL1,0.9283054003724395,0.9838952051751901
HSP90AA1,0.9236499068901304,0.981416098179104
MARCHF1,0.9208566108007449,0.9824147738124589
CNTN5,0.9264432029795159,0.9848444876423216
HS6ST3,0.9292364990689013,0.9874826509368494
NPAS3,0.9124767225325885,0.9835028464315467
ANKRD12,0.9320297951582868,0.9858380365791242
PRRC2C,0.9301675977653632,0.9878155445953497
